query_id	doc_id	relevance
Q000001	D000001	3
Q000001	D000003	1
Q000002	D000002	3
Q000002	D000001	2
Q000002	D000003	1
Q000003	D000001	2
Q000003	D000003	2
Q000003	D000002	1
Q000004	D000017	3
Q000004	D000019	1
Q000005	D000018	3
Q000005	D000017	2
Q000005	D000019	1
Q000006	D000017	2
Q000006	D000019	2
Q000006	D000018	1
Q000007	D000033	3
Q000007	D000035	1
Q000008	D000034	3
Q000008	D000033	2
Q000008	D000035	1
Q000009	D000033	2
Q000009	D000035	2
Q000009	D000034	1
Q000010	D000049	3
Q000010	D000051	1
Q000011	D000050	3
Q000011	D000049	2
Q000011	D000051	1
Q000012	D000049	2
Q000012	D000051	2
Q000012	D000050	1
Q000013	D000065	3
Q000013	D000067	1
Q000014	D000066	3
Q000014	D000065	2
Q000014	D000067	1
Q000015	D000065	2
Q000015	D000067	2
Q000015	D000066	1
Q000016	D000081	3
Q000016	D000083	1
Q000017	D000082	3
Q000017	D000081	2
Q000017	D000083	1
Q000018	D000081	2
Q000018	D000083	2
Q000018	D000082	1
Q000019	D000097	3
Q000019	D000099	1
Q000020	D000098	3
Q000020	D000097	2
Q000020	D000099	1
Q000021	D000097	2
Q000021	D000099	2
Q000021	D000098	1
Q000022	D000113	3
Q000022	D000115	1
Q000023	D000114	3
Q000023	D000113	2
Q000023	D000115	1
Q000024	D000113	2
Q000024	D000115	2
Q000024	D000114	1
Q000025	D000129	3
Q000025	D000131	1
Q000026	D000130	3
Q000026	D000129	2
Q000026	D000131	1
Q000027	D000129	2
Q000027	D000131	2
Q000027	D000130	1
Q000028	D000145	3
Q000028	D000147	1
Q000029	D000146	3
Q000029	D000145	2
Q000029	D000147	1
Q000030	D000145	2
Q000030	D000147	2
Q000030	D000146	1
Q000031	D000161	3
Q000031	D000163	1
Q000032	D000162	3
Q000032	D000161	2
Q000032	D000163	1
Q000033	D000161	2
Q000033	D000163	2
Q000033	D000162	1
Q000034	D000177	3
Q000034	D000179	1
Q000035	D000178	3
Q000035	D000177	2
Q000035	D000179	1
Q000036	D000177	2
Q000036	D000179	2
Q000036	D000178	1
Q000037	D000193	3
Q000037	D000195	1
Q000038	D000194	3
Q000038	D000193	2
Q000038	D000195	1
Q000039	D000193	2
Q000039	D000195	2
Q000039	D000194	1
Q000040	D000209	3
Q000040	D000211	1
Q000041	D000210	3
Q000041	D000209	2
Q000041	D000211	1
Q000042	D000209	2
Q000042	D000211	2
Q000042	D000210	1
Q000043	D000225	3
Q000043	D000227	1
Q000044	D000226	3
Q000044	D000225	2
Q000044	D000227	1
Q000045	D000225	2
Q000045	D000227	2
Q000045	D000226	1
Q000046	D000241	3
Q000046	D000243	1
Q000047	D000242	3
Q000047	D000241	2
Q000047	D000243	1
Q000048	D000241	2
